YES,NO,p,City
43,75,0.36440678,ABBOT Maine
162,109,0.597785978,ACTON Maine
70,90,0.4375,ADDISON Maine
43,40,0.518072289,ALBANY Maine
127,161,0.440972222,ALBION Maine
44,38,0.536585366,ALEXANDER Maine
272,153,0.64,ALFRED Maine
27,12,0.692307692,ALLAGASH Maine
82,67,0.55033557,ALNA Maine
65,42,0.607476636,ALTON Maine
31,27,0.534482759,AMHERST Maine
14,12,0.538461538,AMITY Maine
65,78,0.454545455,ANDOVER Maine
147,129,0.532608696,ANSON Maine
128,97,0.568888889,APPLETON Maine
110,44,0.714285714,ARROWSIC Maine
259,232,0.527494908,ARUNDEL Maine
96,57,0.62745098,ASHLAND Maine
30,38,0.441176471,ATHENS Maine
26,31,0.456140351,ATKINSON Maine
1954,1373,0.5873159,AUBURN Maine
2029,1049,0.659194282,AUGUSTA Maine
14,14,0.5,AURORA Maine
28,32,0.466666667,AVON Maine
100,68,0.595238095,BAILEYVILLE Maine
80,85,0.484848485,BALDWIN Maine
7,4,0.636363636,BANCROFT Maine
2444,1536,0.614070352,BANGOR Maine
642,457,0.584167425,BAR HARBOR Maine
15,18,0.454545455,BARING Maine
924,605,0.604316547,BATH Maine
23,18,0.56097561,BEALS Maine
18,26,0.409090909,BEAVER COVE Maine
9,4,0.692307692,BEDDINGTON Maine
868,683,0.559638943,BELFAST Maine
258,159,0.618705036,BELGRADE Maine
75,63,0.543478261,BELMONT Maine
204,149,0.577903683,BENTON Maine
384,242,0.61341853,BERWICK Maine
205,139,0.595930233,BETHEL Maine
2075,2035,0.50486618,BIDDEFORD Maine
73,49,0.598360656,BINGHAM Maine
43,38,0.530864198,BLAINE Maine
273,261,0.511235955,BLUE HILL Maine
657,481,0.577328647,BOOTHBAY Maine
288,171,0.62745098,BOOTHBAY HARBOR Maine
181,148,0.550151976,BOWDOIN Maine
322,225,0.588665448,BOWDOINHAM Maine
10,9,0.526315789,BOWERBANK Maine
76,82,0.481012658,BRADFORD Maine
100,67,0.598802395,BRADLEY Maine
86,63,0.577181208,BREMEN Maine
838,694,0.546997389,BREWER Maine
22,35,0.385964912,BRIDGEWATER Maine
341,256,0.57118928,BRIDGTON Maine
9,4,0.692307692,BRIGHTON Maine
365,182,0.667276051,BRISTOL Maine
90,81,0.526315789,BROOKLIN Maine
73,71,0.506944444,BROOKS Maine
124,104,0.543859649,BROOKSVILLE Maine
77,71,0.52027027,BROWNFIELD Maine
78,57,0.577777778,BROWNVILLE Maine
2170,1073,0.669133518,BRUNSWICK Maine
141,140,0.501779359,BUCKFIELD Maine
460,343,0.572851806,BUCKSPORT Maine
21,25,0.456521739,BURLINGTON Maine
143,170,0.45686901,BURNHAM Maine
554,387,0.588735388,BUXTON Maine
11,24,0.314285714,BYRON Maine
379,338,0.528591353,CALAIS Maine
38,49,0.436781609,CAMBRIDGE Maine
855,476,0.642374155,CAMDEN Maine
115,108,0.515695067,CANAAN Maine
61,53,0.535087719,CANTON Maine
1542,895,0.632745178,CAPE ELIZABETH Maine
15,4,0.789473684,CARATUNK Maine
611,539,0.531304348,CARIBOU/CONNOR Maine
147,163,0.474193548,CARMEL Maine
84,55,0.604316547,CARRABASSETT VALLEY Maine
12,18,0.4,CARROLL Maine
37,26,0.587301587,CARTHAGE Maine
11,16,0.407407407,CARY Maine
237,173,0.57804878,CASCO Maine
213,107,0.665625,CASTINE Maine
21,41,0.338709677,CASTLE HILL Maine
18,19,0.486486486,CASWELL Maine
35,24,0.593220339,CHAPMAN Maine
68,94,0.419753086,CHARLESTON Maine
32,26,0.551724138,CHARLOTTE Maine
80,43,0.650406504,CHEBEAGUE ISLAND Maine
154,118,0.566176471,CHELSEA Maine
78,63,0.553191489,CHERRYFIELD Maine
35,37,0.486111111,CHESTER Maine
119,121,0.495833333,CHESTERVILLE Maine
748,554,0.574500768,CHINA Maine
60,64,0.483870968,CLIFTON Maine
235,135,0.635135135,CLINTON Maine
26,17,0.604651163,COLUMBIA Maine
44,41,0.517647059,COLUMBIA FALLS Maine
32,11,0.744186047,COOPER Maine
16,12,0.571428571,COPLIN Maine
145,105,0.58,CORINNA Maine
268,306,0.466898955,CORINTH Maine
85,60,0.586206897,CORNISH Maine
63,75,0.456521739,CORNVILLE Maine
31,34,0.476923077,CRANBERRY ISLES Maine
16,9,0.64,CRAWFORD Maine
20,15,0.571428571,CRYSTAL Maine
818,458,0.641065831,CUMBERLAND Maine
191,166,0.535014006,CUSHING Maine
27,30,0.473684211,CUTLER Maine
4,10,0.285714286,CYR Maine
44,37,0.543209877,DALLAS Maine
235,119,0.663841808,DAMARISCOTTA Maine
39,33,0.541666667,DANFORTH/BROOKTON Maine
221,191,0.536407767,DAYTON Maine
6,2,0.75,DEBLOIS Maine
141,115,0.55078125,DEDHAM Maine
203,136,0.598820059,DEER ISLE Maine
91,85,0.517045455,DENMARK Maine
1,2,0.333333333,DENNISTOWN Maine
39,50,0.438202247,DENNYSVILLE/EDMUNDS  Maine
40,42,0.487804878,DETROIT Maine
378,266,0.586956522,DEXTER Maine
130,120,0.52,DIXFIELD Maine
88,91,0.491620112,DIXMONT Maine
266,240,0.5256917,DOVER-FOXCROFT Maine
163,119,0.578014184,DRESDEN Maine
3,1,0.75,DREW Maine
524,765,0.40651668,DURHAM Maine
19,23,0.452380952,DYER BROOK Maine
57,39,0.59375,EAGLE LAKE Maine
122,109,0.528138528,EAST MACHIAS Maine
271,206,0.568134172,EAST MILLINOCKET Maine
30,39,0.434782609,EASTBROOK Maine
69,82,0.456953642,EASTON Maine
264,180,0.594594595,EASTPORT Maine
191,170,0.529085873,EDDINGTON Maine
98,92,0.515789474,EDGECOMB Maine
16,15,0.516129032,EDINBURG Maine
805,693,0.537383178,ELIOT Maine
1077,996,0.519536903,ELLSWORTH Maine
53,49,0.519607843,EMBDEN Maine
98,88,0.52688172,ENFIELD Maine
55,52,0.514018692,ETNA Maine
48,37,0.564705882,EUSTIS Maine
69,62,0.526717557,EXETER Maine
464,339,0.577833126,FAIRFIELD Maine
1152,652,0.638580931,FALMOUTH Maine
249,190,0.567198178,FARMINGDALE Maine
438,358,0.550251256,FARMINGTON Maine
158,127,0.554385965,FAYETTE Maine
221,224,0.496629213,FORT FAIRFIELD Maine
287,181,0.613247863,FORT KENT Maine
63,67,0.484615385,FRANKFORT Maine
107,101,0.514423077,FRANKLIN Maine
43,54,0.443298969,FREEDOM Maine
1405,1217,0.535850496,FREEPORT Maine
10,3,0.769230769,FRENCHBORO Maine
87,39,0.69047619,FRENCHVILLE Maine
107,73,0.594444444,FRIENDSHIP Maine
12,11,0.52173913,FRYE ISLAND Maine
221,222,0.498871332,FRYEBURG Maine
494,265,0.65085639,GARDINER Maine
8,10,0.444444444,GARFIELD Maine
64,64,0.5,GARLAND Maine
181,93,0.660583942,GEORGETOWN Maine
10,13,0.434782609,GILEAD Maine
259,217,0.544117647,GLENBURN Maine
0,4,0,GLENWOOD Maine
1440,1210,0.543396226,GORHAM Maine
173,159,0.521084337,GOULDSBORO Maine
43,22,0.661538462,GRAND ISLE Maine
30,15,0.666666667,GRAND LAKE STREAM Maine
547,376,0.592632719,GRAY Maine
9,6,0.6,GREAT POND Maine
49,68,0.418803419,GREENBUSH Maine
284,209,0.576064909,GREENE Maine
165,159,0.509259259,GREENVILLE Maine
59,31,0.655555556,GREENWOOD Maine
84,75,0.528301887,GUILFORD Maine
558,277,0.668263473,HALLOWELL Maine
10,20,0.333333333,HAMLIN Maine
6,10,0.375,HAMMOND Maine
820,705,0.537704918,HAMPDEN Maine
367,316,0.537335286,HANCOCK Maine
33,27,0.55,HANOVER Maine
43,70,0.380530973,HARMONY Maine
777,356,0.685789938,HARPSWELL Maine
65,48,0.575221239,HARRINGTON Maine
174,143,0.548895899,HARRISON Maine
70,51,0.578512397,HARTFORD Maine
114,117,0.493506494,HARTLAND Maine
