MUNICIPALITY,YES,NO,BLANK,YES.1,NO.1,BLANK.1,YES.2,NO.2,BLANK.2,YES.3,NO.3,BLANK.3,YES.4,NO.4,BLANK.4
ABBOT,43,75,0,39,79,0,55,63,0,33,85,0,59,59,0
ACTON,162,109,3,177,94,3,199,74,1,150,119,5,190,82,2
ADDISON,70,90,1,59,102,0,91,70,0,50,110,1,76,85,0
ALBANY,43,40,1,45,39,0,49,34,1,39,45,0,48,36,0
ALBION,127,161,1,120,169,0,146,142,1,102,187,0,133,156,0
ALEXANDER,44,38,1,35,48,0,52,29,2,27,56,0,42,40,1
ALFRED,272,153,5,255,172,3,304,123,3,230,197,3,284,145,1
ALLAGASH,27,12,0,27,12,0,31,8,0,21,18,0,28,11,0
ALNA,82,67,1,100,50,0,111,38,1,87,62,1,107,43,0
ALTON,65,42,0,50,57,0,72,35,0,44,63,0,63,44,0
AMHERST,31,27,0,28,29,1,39,19,0,27,31,0,32,26,0
AMITY,14,12,0,11,15,0,19,7,0,10,15,1,13,13,0
ANDOVER,65,78,3,68,76,2,92,53,1,61,84,1,73,72,1
ANSON,147,129,2,135,143,0,168,110,0,104,173,1,147,131,0
APPLETON,128,97,3,128,96,4,166,60,2,131,96,1,138,87,3
ARROWSIC,110,44,1,124,31,0,135,18,2,109,44,2,121,34,0
ARUNDEL,259,232,5,274,217,5,337,157,2,249,243,4,306,187,3
ASHLAND,96,57,3,97,57,2,110,41,5,70,82,4,107,46,3
ATHENS,30,38,1,18,50,1,38,31,0,15,51,3,26,42,1
ATKINSON,26,31,0,25,31,1,34,23,0,17,40,0,31,26,0
AUBURN,1954,1373,65,2056,1290,46,2320,1010,62,1697,1637,58,2261,1101,30
AUGUSTA,2029,1049,53,2006,1069,56,2412,671,48,1704,1349,78,2127,962,42
AURORA,14,14,0,9,19,0,14,13,1,8,20,0,12,16,0
AVON,28,32,1,26,35,0,31,30,0,20,40,1,31,30,0
BAILEYVILLE,100,68,5,89,80,4,119,50,4,66,104,3,108,62,3
BALDWIN,80,85,0,71,93,1,96,69,0,62,103,0,84,81,0
BANCROFT,7,4,0,7,4,0,9,2,0,8,3,0,8,3,0
BANGOR,2444,1536,89,2550,1436,83,3071,912,86,2093,1852,124,2795,1200,74
BAR HARBOR,642,457,21,789,319,12,941,159,20,677,419,24,837,275,8
BARING,15,18,0,17,16,0,22,11,0,10,23,0,15,18,0
BATH,924,605,26,1049,487,19,1210,328,17,928,602,25,1074,469,12
BEALS,23,18,1,24,17,1,28,13,1,23,19,0,25,16,1
BEAVER COVE,18,26,1,21,24,0,32,13,0,26,19,0,27,18,0
BEDDINGTON,9,4,0,9,4,0,9,4,0,9,4,0,9,4,0
BELFAST,868,683,61,1012,548,52,1190,380,42,889,668,55,1112,465,35
BELGRADE,258,159,1,242,172,4,313,103,2,228,188,2,267,149,2
